"引脚号","引脚名（标准） [1]_ ","引脚名（QuecOpen） [2]_ ","功能 1 [3]_ ",功能 2,功能 3,功能 4,功能 5
"1","WAKEUP_IN","WAKEUP_IN","GPIO28",,,,
"2","AP_READY","AP_READY","GPIO29",,,,
"3","SLEEP_IND","SLEEP_IND","GPIO9",,,,
"4","W_DISABLE#","W_DISABLE#","GPIO30",,,,
"5","NET_MODE","NET_MODE","GPIO14",,,,
"6","NET_STATUS","NET_STATUS","GPIO46",,,,
"7","VDD_EXT","VDD_EXT",,,,,
"8","GND","GND",,,,,
"9","GND","GND",,,,,
"10","USIM_GND","USIM_GND",,,,,
"11","DBG_RXD","DBG_RXD",,,,,
"12","DBG_TXD","DBG_TXD",,,,,
"13","USIM_DET","USIM_DET","GPIO5",,,,
"14","USIM_VDD","USIM_VDD",,,,,
"15","USIM_DATA","USIM_DATA",,,,,
"16","USIM_CLK","USIM_CLK",,,,,
"17","USIM_RST","USIM_RST",,,,,
"18","RESERVED","RESERVED",,,,,
"19","GND","GND",,,,,
"20","RESET_N","RESET_N",,,,,
"21","PWRKEY","PWRKEY",,,,,
"22","GND","GND",,,,,
"23","SD_DET","SD_DET","GPIO47",,,,
"24","PCM_DIN","PCM_DIN","GPIO3",,SPI1_MOSI,,
"25","PCM_DOUT","PCM_DOUT","GPIO4",,SPI1_MISO,,
"26","PCM_SYNC","PCM_SYNC","GPIO2",,SPI1_CS,,
"27","PCM_CLK","PCM_CLK","GPIO1",,SPI1_CLK,,
"28","SDIO1_DATA3","SDIO1_DATA3","GPIO27",,,,
"29","SDIO1_DATA2","SDIO1_DATA2","GPIO26",,,,
"30","SDIO1_DATA1","SDIO1_DATA1","GPIO25",,,,
"31","SDIO1_DATA0","SDIO1_DATA0","GPIO24",,,,
"32","SDIO1_CLK","SDIO1_CLK",,,,,
"33","SDIO1_CMD","SDIO1_CMD","GPIO23",,,,
"34","SDIO1_VDD","SDIO1_VDD",,,,,
"35","ANT_WIFI/BT","ANT_WIFI/BT",,,,,
"36","GND","GND",,,,,
"37","SPI_CS","SPI_CS","GPIO11",,,,
"38","SPI_MOSI","SPI_MOSI","GPIO12",,,,
"39","SPI_MISO","SPI_MISO","GPIO13",,,,
